DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
202007770,03/20/2020,03/19/2020,2045,20,Olympic,2091,997,TRAFFIC COLLISION,3009 3026 3029 3035 3037 3104 3401 3701 4020,26,M,H,101,STREET,GRAMERCY                     PL,23RD                         ST,"(34.0385, -118.3135)"
201408547,03/19/2020,03/19/2020,1440,14,Pacific,1432,997,TRAFFIC COLLISION,3008 3025 3029 3035 3037 3101 3401 3701 4027,74,M,A,101,STREET,VENICE                       BL,LINCOLN                      BL,"(33.994, -118.4526)"
201209443,03/20/2020,03/19/2020,2222,12,77th Street,1203,997,TRAFFIC COLLISION,4025 3037 3004 3028 3101,38,F,H,101,STREET,GRAMERCY                     PL,VERNON                       AV,"(34.0037, -118.3138)"
201209507,03/19/2020,03/19/2020,1650,12,77th Street,1245,997,TRAFFIC COLLISION,4012 3037 3004 3028 3030 3101,55,M,B,101,STREET,FLORENCE                     AV,VERMONT,"(33.9746, -118.2918)"
201607280,03/19/2020,03/19/2020,1940,16,Foothill,1651,997,TRAFFIC COLLISION,3004 3037 3026 3038 3032 3101 4026,36,M,H,101,STREET,OSBORNE                      ST,HADDON                       AV,"(34.2477, -118.4184)"
201209442,03/19/2020,03/19/2020,2225,12,77th Street,1249,997,TRAFFIC COLLISION,4025 3036 3004 3026 3101,28,M,B,101,STREET,66TH                         ST,FIGUEROA                     ST,"(33.9798, -118.2827)"
200608129,03/19/2020,03/19/2020,1715,06,Hollywood,0663,997,TRAFFIC COLLISION,3009 3026 3035 3036 3101 3401 3701 4006,42,M,W,101,STREET,HIGHLAND,SANTA MONICA,"(34.0907, -118.3386)"
201907867,03/19/2020,03/19/2020,2040,19,Mission,1974,997,TRAFFIC COLLISION,3004 3036 3026 3101 4026,34,M,H,101,STREET,NORDHOFF                     ST,VAN NUYS                     BL,"(34.2354, -118.4502)"
201907842,03/19/2020,03/19/2020,0650,19,Mission,1921,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,49,M,H,101,STREET,ENCINITAS                    AV,LARKSPUR                     ST,"(34.303, -118.4778)"
200507437,03/19/2020,03/19/2020,1940,05,Harbor,0514,997,TRAFFIC COLLISION,4005 3036 3008 3030 3026 3101,49,M,H,101,STREET,BAYVIEW,PACIFIC COAST,"(33.7897, -118.2787)"
200407158,03/20/2020,03/20/2020,2050,04,Hollenbeck,0457,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030 0605,29,M,H,101,STREET,CESAR E CHAVEZ               AV,EVERGREEN                    AV,"(34.0436, -118.2004)"
200707634,03/20/2020,03/20/2020,1645,07,Wilshire,0765,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3102 3401 3701 4007,58,M,B,101,STREET,PICO                         BL,LA BREA                      AV,"(34.0478, -118.3459)"
200208001,03/20/2020,03/20/2020,1200,02,Rampart,0251,997,TRAFFIC COLLISION,3101 3401 3701 0605 3004 3036,48,M,H,101,STREET,RAMPART                      BL,4TH                          ST,"(34.0649, -118.2797)"
201507870,03/20/2020,03/20/2020,1350,15,N Hollywood,1503,997,TRAFFIC COLLISION,3004 3026 3101 4026 3037,26,M,H,101,STREET,SHERMAN                      WY,LAUREL CANYON                BL,"(34.2012, -118.3965)"
201507869,03/20/2020,03/20/2020,0930,15,N Hollywood,1565,997,TRAFFIC COLLISION,3004 3036 3026 3101 4026,56,F,A,101,STREET,TUJUNGA                      AV,MOORPARK                     ST,"(34.1504, -118.379)"
201308569,03/23/2020,03/20/2020,1630,13,Newton,1373,997,TRAFFIC COLLISION,3101 3401 3701 0605 3029 3036 3004,27,F,H,101,STREET,56TH                         ST,MCKINLEY                     AV,"(33.9916, -118.2608)"
201308500,03/20/2020,03/20/2020,2205,13,Newton,1321,997,TRAFFIC COLLISION,3101 3401 3701 3004 3029 3026 3036 0605,26,F,B,101,STREET,MAIN                         ST,23RD                         ST,"(34.0276, -118.2669)"
201107553,03/20/2020,03/20/2020,1720,11,Northeast,1132,997,TRAFFIC COLLISION,3101 3401 0605 3004 3026 3701,47,F,W,101,STREET,LOS FELIZ                    BL,COMMONWEALTH                 AV,"(34.1123, -118.2853)"
201107552,03/20/2020,03/20/2020,1555,11,Northeast,1117,997,TRAFFIC COLLISION,3101 3401 3701 0605 3008 3036 3026,45,F,H,101,STREET,EAGLE ROCK                   BL,AVENUE 41,"(34.1294, -118.2108)"
201107543,03/20/2020,03/20/2020,1105,11,Northeast,1143,997,TRAFFIC COLLISION,3101 3401 3701 0605 3004 3034,26,M,H,101,STREET,CLAYTON                      AV,DELOZ                        AV,"(34.1009, -118.2779)"
201107540,03/20/2020,03/20/2020,0900,11,Northeast,1143,997,TRAFFIC COLLISION,3101 3401 3701 0605 3034 3026 3036 3004,58,F,A,101,STREET,HYPERION,MONON,"(34.108, -118.2719)"
200507446,03/21/2020,03/20/2020,1200,05,Harbor,0558,997,TRAFFIC COLLISION,4025 3037 3004 3102 3026,42,M,G,108,PARKING LOT,JOHN S GIBSON                ST,CHANNEL                      ST,"(33.7489, -118.2798)"
200407175,03/22/2020,03/20/2020,2205,04,Hollenbeck,0491,997,TRAFFIC COLLISION,0605 3101 3401 3701 3003 3026,45,M,H,101,STREET,OLYMPIC                      BL,SOTO                         ST,"(34.0243, -118.2198)"
200407135,03/20/2020,03/20/2020,1420,04,Hollenbeck,0497,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 0605,26,F,H,101,STREET,UNION PACIFIC,GRANDE VISTA,"(34.0167, -118.2092)"
200208016,03/20/2020,03/20/2020,1245,02,Rampart,0245,997,TRAFFIC COLLISION,3101 3401 3701 0605 3004,30,M,B,101,STREET,W  3RD                          ST,GRAND VIEW                   ST,"(34.064, -118.2747)"
200207989,03/20/2020,03/20/2020,0010,02,Rampart,0201,997,TRAFFIC COLLISION,3101 3401 3701 0605 3036 3003 3025,36,M,H,101,STREET,VERMONT                      AV,WILLOW BROOK                 AV,"(34.0898, -118.2917)"
