DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
142008073,03/30/2014,02/26/2014,0900,20,Olympic,2033,997,TRAFFIC COLLISION,3008 3026 3029 3035 3037 3101 3401 3701 4027 3603,31,F,A,101,STREET,WESTERN,WILSHIRE,"(34.0617, -118.3091)"
142007403,03/16/2014,03/16/2014,1710,20,Olympic,2023,997,TRAFFIC COLLISION,3008 3025 3034 3037 3103 3401 3701 4027 3603,47,M,W,101,STREET,3RD                          ST,HARVARD                      BL,"(34.069, -118.3041)"
142007146,03/11/2014,03/10/2014,2000,20,Olympic,2083,997,TRAFFIC COLLISION,3008 3035 3037 3101 3401 3701 4027 3603,21,M,O,101,STREET,WESTERN                      AV,VENICE                       BL,"(34.0436, -118.309)"
150110444,04/08/2015,04/08/2015,1040,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3016 3603 3026 3034,36,M,H,101,STREET,PICO                         BL,LOS ANGELES                  ST,"(34.0357, -118.2593)"
150118827,08/14/2015,08/14/2015,1045,01,Central,0138,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,27,M,H,101,STREET,4TH                          ST,OMAR                         AV,"(34.0454, -118.2422)"
150111718,04/27/2015,04/27/2015,1430,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3006 3025 3603,44,M,H,101,STREET,SANTEE                       ST,12TH                         ST,"(34.0363, -118.2573)"
150115841,07/01/2015,07/01/2015,1255,01,Central,0195,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,29,M,H,101,STREET,PICO                         BL,LOS ANGELES                  ST,"(34.0357, -118.2593)"
150109909,03/31/2015,03/31/2015,0730,01,Central,0118,997,TRAFFIC COLLISION,3101 3401 3701 3025 3603 3008,32,M,W,101,STREET,MAIN                         ST,WILHARDT                     ST,"(34.0677, -118.2259)"
150107718,02/27/2015,02/27/2015,1440,01,Central,0147,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,52,M,H,101,STREET,SAN PEDRO                    ST,5TH                          ST,"(34.0442, -118.2439)"
150111701,04/27/2015,04/27/2015,0725,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3026 3603 3008,27,M,H,101,STREET,BROADWAY,OLYMPIC,"(34.0409, -118.2574)"
150111982,05/01/2015,05/01/2015,1710,01,Central,0135,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3603,33,M,W,101,STREET,SAN PEDRO                    ST,1TH                          ST,"(34.0495, -118.2458)"
150121466,09/23/2015,09/23/2015,1310,01,Central,0158,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,58,M,H,101,STREET,WALL                         ST,8TH                          ST,"(34.0395, -118.2405)"
150111797,04/28/2015,04/28/2015,1615,01,Central,0111,997,TRAFFIC COLLISION,3101 3401 3701 3603 3025 3008,49,M,W,101,STREET,ALAMEDA                      ST,ALPINE                       ST,"(34.0617, -118.2363)"
150110089,04/02/2015,04/02/2015,1545,01,Central,0162,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,24,M,H,101,STREET,7TH                          ST,FIGUEROA                     ST,"(34.0494, -118.2599)"
150116712,07/14/2015,07/14/2015,1450,01,Central,0153,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,28,M,H,101,STREET,BROADWAY,5TH                          ST,"(34.0467, -118.252)"
150127465,12/12/2015,12/12/2015,1150,01,Central,0166,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3029 3603,60,M,B,101,STREET,E  6TH                          ST,S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
150127859,12/18/2015,12/18/2015,0920,01,Central,0148,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,50,M,H,101,STREET,4TH                          ST,CROCKER                      ST,"(34.0449, -118.2415)"
150209754,04/17/2015,04/17/2015,1635,02,Rampart,0291,997,TRAFFIC COLLISION,3101 3401 3701 3008 3029 3026 3603,48,M,O,101,STREET,VENICE                       BL,MALVERN                      AV,"(34.0437, -118.2838)"
150126764,12/02/2015,12/02/2015,1430,01,Central,0153,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,44,M,W,101,STREET,HILL,5TH,"(34.0488, -118.2518)"
150206762,02/20/2015,02/20/2015,1225,02,Rampart,0269,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,26,M,H,101,STREET,W  7TH                          ST,S  UNION                        AV,"(34.0539, -118.2712)"
150206587,02/16/2015,02/16/2015,1315,02,Rampart,0231,997,TRAFFIC COLLISION,0605 3101 3401 3701 3026 3603 3016,41,M,H,101,STREET,3200    BEVERLY                      BL,,"(34.0723, -118.2831)"
150126989,12/05/2015,12/05/2015,1445,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,24,M,H,101,STREET,SANTEE                       ST,11TH                         ST,"(34.0378, -118.2561)"
150211669,05/20/2015,05/20/2015,1030,02,Rampart,0245,997,TRAFFIC COLLISION,0605 3101 3401 3701 3008 3026 3603,65,M,O,101,STREET,ALVARADO                     ST,6TH                          ST,"(34.0596, -118.2749)"
150126760,12/02/2015,12/02/2015,1200,01,Central,0147,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025 3034,40,M,H,101,STREET,WALL                         ST,WINSTON                      ST,"(34.0455, -118.2452)"
150309540,03/30/2015,03/30/2015,1615,03,Southwest,0354,997,TRAFFIC COLLISION,4025 3603 3602 3004 3026 3101,38,F,H,101,STREET,JEFFERSON                    BL,7TH                          AV,"(34.0256, -118.3248)"
150221707,11/29/2015,11/28/2015,2255,02,Rampart,0203,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,21,M,H,101,STREET,VERMONT                      AV,NORMAL                       AV,"(34.0867, -118.2917)"
150321138,09/25/2015,09/25/2015,0910,03,Southwest,0392,997,TRAFFIC COLLISION,3603 3026 3101 4003,50,M,B,101,STREET,ARLINGTON,52ND,"(33.9951, -118.3182)"
150312302,05/12/2015,05/12/2015,1430,03,Southwest,0336,997,TRAFFIC COLLISION,3025 3101 3603 3029 4025,59,M,H,101,STREET,JEFFERSON,CIMARRON,"(34.0256, -118.3156)"
150314675,06/16/2015,06/16/2015,1750,03,Southwest,0331,997,TRAFFIC COLLISION,4025 3008 3025 3101 3603,28,M,W,101,STREET,JEFFERSON                    BL,FIGUEROA                     ST,"(34.0283, -118.3492)"
150319495,08/29/2015,08/29/2015,1050,03,Southwest,0378,997,TRAFFIC COLLISION,3603 3025 3101 4003,28,M,H,101,STREET,FIGUEROA,EXPOSITION,"(34.0182, -118.2824)"
150318887,08/24/2015,08/24/2015,1510,03,Southwest,0358,997,TRAFFIC COLLISION,3025 3101 3008 3029 4025 3603,21,M,H,101,STREET,FIGUEROA                     ST,JEFFERSON                    BL,"(34.0212, -118.2805)"
150312768,05/21/2015,05/21/2015,0835,03,Southwest,0376,997,TRAFFIC COLLISION,3603 3008 3025 3101 4025,40,M,H,101,STREET,EXPOSITION                   BL,DENKER                       AV,"(34.0182, -118.3045)"
150315864,07/06/2015,07/06/2015,1625,03,Southwest,0357,997,TRAFFIC COLLISION,3603 4025 3025 3101,21,M,H,101,STREET,NORMANDIE                    AV,35TH                         PL,"(34.0237, -118.3002)"
150409480,05/06/2015,05/06/2015,1315,04,Hollenbeck,0457,997,TRAFFIC COLLISION,0605 3101 3401 3701 3026 3029 3603,34,M,H,101,STREET,E  CESAR E CHAVEZ               AV,SOTO                         ST,"(34.0468, -118.2078)"
150410310,05/27/2015,05/26/2015,1945,04,Hollenbeck,0422,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,30,M,H,101,STREET,BROADWAY,GRIFFIN                      AV,"(34.0737, -118.2117)"
150412677,07/29/2015,07/28/2015,2115,04,Hollenbeck,0402,997,TRAFFIC COLLISION,3101 3401 3701 3603 3008 3026 0605,51,F,H,101,STREET,GRIFFIN                      AV,AVENUE 43,"(34.0953, -118.2019)"
150412051,07/14/2015,07/14/2015,0915,04,Hollenbeck,0473,997,TRAFFIC COLLISION,3101 3401 3701 3006 3034 3603,99,M,H,101,STREET,WHITTIER                     BL,SOTO                         ST,"(34.0344, -118.2157)"
151106105,02/13/2015,02/13/2015,1825,11,Northeast,1149,997,TRAFFIC COLLISION,3101 3401 3701 3025 3603 3008,45,M,H,101,STREET,FIGUEROA                     ST,AVENUE 56,"(34.1089, -118.1942)"
151117197,09/20/2015,09/20/2015,0850,11,Northeast,1153,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,47,M,H,101,STREET,FERN DELL                    DR,RED OAK                      DR,"(34.1127, -118.3075)"
151119292,11/03/2015,11/03/2015,1430,11,Northeast,1161,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,,M,H,101,STREET,FOUNTAIN                     AV,N  MARIPOSA                     AV,"(34.0953, -118.2994)"
151119827,11/16/2015,11/15/2015,1745,11,Northeast,1126,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,30,M,H,101,STREET,YORK                         BL,AVENUE 51,"(34.1211, -118.2048)"
151304830,01/17/2015,01/17/2015,1130,13,Newton,1323,997,TRAFFIC COLLISION,3101 3401 3701 3008 3602 3026 3603,50,M,H,101,STREET,CENTRAL                      AV,21ST                         ST,"(34.0224, -118.2524)"
151305919,02/06/2015,02/06/2015,0905,13,Newton,1321,997,TRAFFIC COLLISION,3101 3401 3701 3008 3602 3025 3603,42,M,W,101,STREET,FLOWER                       ST,23RD                         ST,"(34.0288, -118.2739)"
151311762,05/20/2015,05/20/2015,0800,13,Newton,1321,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3603,41,M,H,101,STREET,23RD                         ST,HILL                         ST,"(34.0285, -118.269)"
151318642,09/26/2015,09/26/2015,0900,13,Newton,1372,997,TRAFFIC COLLISION,3101 3401 3701 3006 3602 3801 3603,24,F,B,101,STREET,AVALON,SLAUSON,"(33.9923, -118.2696)"
151312509,06/03/2015,06/03/2015,1500,13,Newton,1303,997,TRAFFIC COLLISION,3101 3401 3701 3016 3603 3025,43,M,H,101,STREET,PICO                         BL,MAPLE                        AV,"(34.0342, -118.2564)"
151312835,06/09/2015,06/09/2015,1400,13,Newton,1303,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,50,M,B,101,STREET,SAN JULIAN,12TH,"(34.0344, -118.2543)"
151322914,12/16/2015,12/16/2015,1215,13,Newton,1322,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,31,M,H,101,STREET,MAPLE                        AV,24TH                         ST,"(34.0252, -118.2644)"
