DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
190904001,01/01/2019,12/31/2018,1310,09,Van Nuys,0932,997,TRAFFIC COLLISION,3004 3037 3029 3025 3101 3401 3701 4009,31,M,O,101,STREET,VICTORY                      BL,SEPULVEDA                    BL,"(34.1867, -118.4662)"
190804074,12/31/2018,12/31/2018,1515,08,West LA,0899,997,TRAFFIC COLLISION,3004 3025 3035 3036 3101 3401 3701 4008,54,F,O,101,STREET,NATIONAL                     BL,ROBERTSON                    BL,"(34.0329, -118.3832)"
190804059,01/02/2019,12/31/2018,1745,08,West LA,0841,997,TRAFFIC COLLISION,3008 3024 3035 3037 3101 3401 3701 4027,63,F,A,101,STREET,WILSHIRE                     BL,BROCKTON                     AV,"(34.046, -118.4652)"
190804030,01/01/2019,12/31/2018,1440,08,West LA,0882,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4008,,M,W,101,STREET,PICO                         BL,SAWTELLE                     BL,"(34.0347, -118.4397)"
190704759,12/31/2018,12/31/2018,1517,07,Wilshire,0785,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,35,F,B,101,STREET,W  WASHINGTON                   BL,RIMPAU,"(34.0399, -118.3435)"
190604354,01/09/2019,12/31/2018,0001,06,Hollywood,0635,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4006,42,M,B,101,STREET,N  CAHUENGA                     BL,101 FWY,"(34.1081, -118.3308)"
190504062,12/31/2018,12/31/2018,2145,05,Harbor,0541,997,TRAFFIC COLLISION,,24,F,H,108,PARKING LOT,GAFFEY,CHANNEL,"(33.7538, -118.2923)"
190604001,01/01/2019,12/31/2018,2250,06,Hollywood,0646,997,TRAFFIC COLLISION,3008 3026 3034 3037 3102 3401 3701 4027 3002,31,M,H,101,STREET,SELMA                        AV,CAHUENGA                     BL,"(34.0998, -118.3295)"
190504473,12/31/2018,12/31/2018,1530,05,Harbor,0513,997,TRAFFIC COLLISION,0605,,F,H,101,STREET,ANAHEIM                      ST,VERMONT,"(33.7835, -118.3)"
190604366,01/01/2019,12/31/2018,1900,06,Hollywood,0668,997,TRAFFIC COLLISION,3006 3028 3030 3035 3036 3101 3401 4006 3701,39,M,H,101,STREET,SAINT ANDREWS,LA MIRADA,"(34.0938, -118.3109)"
